타임스탬프,이메일 주소,1. 본인의 성명을 입력해주십시오.,2. 본인의 학번을 입력해 주십시오,3. 본인의 학년 또는 지위를 선택해 주십시오.,4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [1지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [2지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [3지망]
1/28/2000 12:00,683kt8l829@snu.ac.kr,양름잡,1111-11128,3학년,역사관(평상),법오 큰방(평상),법오 큰방(칸막이)
1/29/2000 12:00,7tncgfg9mt@snu.ac.kr,강틀팍,1111-11129,3학년,15동 401호(평상),역사관(평상),법오 큰방(칸막이)
1/30/2000 12:00,q6mjbcj2k1@snu.ac.kr,김틸락,1111-11130,2학년,국산(칸막이),법오 작은방(평상),15동 401호(칸막이)
1/31/2000 12:00,j1mgg4wg1u@snu.ac.kr,김즐킥,1111-11131,2학년,법오 큰방(평상),법오 작은방(평상),법오 골방(칸막이)
2/1/2000 12:00,2kdpdd72xp@snu.ac.kr,문거즌,1111-11132,3학년,법오 큰방(평상),역사관(평상),법오 큰방(칸막이)
2/2/2000 12:00,sz3xxdmi3u@snu.ac.kr,한긴깅,1111-11133,2학년,역사관(평상),15동 404호(칸막이),법오 큰방(칸막이)
2/3/2000 12:00,apz4tbxekn@snu.ac.kr,강긴든,1111-11134,3학년,법오 골방(칸막이),역사관(평상),법오 큰방(칸막이)
2/4/2000 12:00,ujlsj5337s@snu.ac.kr,양흘렁,1111-11135,3학년,국산(칸막이),역사관(평상),법오 골방(칸막이)
2/5/2000 12:00,mpzp1agfsr@snu.ac.kr,이탐탈,1111-11136,3학년,역사관(평상),15동 401호(칸막이),15동 404호(칸막이)
2/6/2000 12:00,jq0lj11szd@snu.ac.kr,강힝펑,1111-11137,3학년,법오 큰방(평상),국산(칸막이),국산(칸막이)
2/7/2000 12:00,gfn5yx16ax@snu.ac.kr,박덜딩,1111-11138,3학년,15동 404호(칸막이),법오 큰방(평상),법오 큰방(칸막이)
2/8/2000 12:00,6a0v3booix@snu.ac.kr,한틸잔,1111-11139,2학년,법오 큰방(평상),15동 404호(칸막이),법오 큰방(칸막이)
2/9/2000 12:00,7np48exh8y@snu.ac.kr,문탑픽,1111-11140,2학년,역사관(평상),15동 401호(칸막이),국산(칸막이)
2/10/2000 12:00,q5tsppueom@snu.ac.kr,김잠슥,1111-11141,2학년,국산(칸막이),법오 큰방(칸막이),법오 작은방(평상)
2/11/2000 12:00,4rgvctp06u@snu.ac.kr,김컬층,1111-11142,2학년,법오 큰방(칸막이),15동 401호(평상),15동 401호(칸막이)
2/12/2000 12:00,gzdp1kca0i@snu.ac.kr,박픈힉,1111-11143,3학년,법오 큰방(평상),법오 큰방(칸막이),15동 401호(칸막이)
2/13/2000 12:00,67n2pfp2wr@snu.ac.kr,김캇살,1111-11144,3학년,15동 404호(칸막이),법오 골방(칸막이),법오 작은방(평상)
2/14/2000 12:00,axsfckb4bh@snu.ac.kr,한존븐,1111-11145,3학년,국산(칸막이),법오 골방(칸막이),법오 큰방(평상)
2/15/2000 12:00,snp16rn1mb@snu.ac.kr,문닐맛,1111-11146,3학년,15동 404호(칸막이),법오 골방(칸막이),15동 401호(칸막이)
2/16/2000 12:00,vobw9zhlaz@snu.ac.kr,강넉넝,1111-11147,2학년,법오 작은방(평상),15동 401호(평상),15동 404호(칸막이)
2/17/2000 12:00,tvqljjyh8l@snu.ac.kr,문엉밍,1111-11148,3학년,법오 작은방(평상),국산(칸막이),법오 큰방(칸막이)
2/18/2000 12:00,apzrhnu18p@snu.ac.kr,양인피,1111-11149,3학년,15동 401호(칸막이),역사관(평상),15동 404호(칸막이)
2/19/2000 12:00,izs22uemgi@snu.ac.kr,문픔건,1111-11150,2학년,역사관(평상),법오 큰방(칸막이),15동 404호(칸막이)
2/20/2000 12:00,vllghwkwzp@snu.ac.kr,한헐누,1111-11151,2학년,법오 골방(칸막이),역사관(평상),법오 큰방(칸막이)
2/21/2000 12:00,qv0moaix27@snu.ac.kr,박넝힝,1111-11152,2학년,역사관(평상),15동 404호(칸막이),법오 골방(칸막이)
2/22/2000 12:00,9r2vtu4e20@snu.ac.kr,김설낭,1111-11153,3학년,15동 404호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
2/23/2000 12:00,umhoymudaz@snu.ac.kr,김밀막,1111-11154,3학년,법오 작은방(평상),법오 큰방(평상),15동 404호(칸막이)
2/24/2000 12:00,tcnb26394v@snu.ac.kr,강리릭,1111-11155,3학년,15동 404호(칸막이),국산(칸막이),법오 작은방(평상)
2/25/2000 12:00,m4m3ul3hmn@snu.ac.kr,강칠헉,1111-11156,3학년,법오 골방(칸막이),법오 큰방(평상),법오 골방(칸막이)
2/26/2000 12:00,zaev9d4gtd@snu.ac.kr,최긱등,1111-11157,2학년,법오 작은방(평상),법오 큰방(평상),법오 골방(칸막이)
2/27/2000 12:00,r6zu02qth1@snu.ac.kr,이등틀,1111-11158,3학년,법오 골방(칸막이),법오 작은방(평상),법오 골방(칸막이)
2/28/2000 12:00,f5sr8paqhs@snu.ac.kr,양갑븍,1111-11159,3학년,법오 큰방(평상),법오 골방(칸막이),15동 404호(칸막이)
2/29/2000 12:00,yxck1sfp33@snu.ac.kr,문강팍,1111-11160,3학년,법오 작은방(평상),15동 401호(칸막이),법오 큰방(평상)
3/1/2000 12:00,fhb8o2irap@snu.ac.kr,이살버,1111-11161,3학년,법오 큰방(칸막이),국산(칸막이),법오 작은방(평상)
3/2/2000 12:00,d1i503yuyu@snu.ac.kr,한슴항,1111-11162,3학년,법오 큰방(칸막이),역사관(평상),15동 401호(칸막이)
3/3/2000 12:00,v8dki5q6so@snu.ac.kr,박온팡,1111-11163,3학년,15동 401호(칸막이),국산(칸막이),15동 401호(칸막이)
3/4/2000 12:00,bufpbaqr8m@snu.ac.kr,박믐정,1111-11164,3학년,법오 작은방(평상),국산(칸막이),법오 큰방(칸막이)
3/5/2000 12:00,kodbkptos1@snu.ac.kr,한닉선,1111-11165,3학년,법오 큰방(평상),법오 작은방(평상),법오 큰방(칸막이)
3/6/2000 12:00,fytecigzxx@snu.ac.kr,양서벌,1111-11166,2학년,15동 401호(칸막이),15동 401호(칸막이),15동 401호(칸막이)
3/7/2000 12:00,xoahkb15fr@snu.ac.kr,이남늠,1111-11167,3학년,법오 큰방(칸막이),법오 큰방(평상),15동 404호(칸막이)
3/8/2000 12:00,qopmgd6iow@snu.ac.kr,김주합,1111-11168,3학년,15동 401호(평상),15동 401호(칸막이),15동 404호(칸막이)
3/9/2000 12:00,spdew5ju63@snu.ac.kr,강름틈,1111-11169,3학년,법오 큰방(평상),15동 401호(칸막이),15동 404호(칸막이)
3/10/2000 12:00,8c2bjrxobf@snu.ac.kr,문힝리,1111-11170,3학년,15동 404호(칸막이),법오 큰방(평상),법오 큰방(칸막이)
3/11/2000 12:00,zpt45x530u@snu.ac.kr,강무압,1111-11171,3학년,법오 작은방(평상),15동 401호(칸막이),법오 큰방(칸막이)
3/12/2000 12:00,t5ccejz9jy@snu.ac.kr,강헐소,1111-11172,3학년,15동 404호(칸막이),법오 골방(칸막이),역사관(평상)
3/13/2000 12:00,h3xllsskxe@snu.ac.kr,박믕잣,1111-11173,3학년,법오 큰방(평상),법오 골방(칸막이),법오 큰방(칸막이)
3/14/2000 12:00,ttij3b2ogv@snu.ac.kr,이얼암,1111-11174,2학년,법오 작은방(평상),법오 큰방(평상),법오 큰방(칸막이)
3/15/2000 12:00,rqtfihzx7h@snu.ac.kr,김타늑,1111-11175,3학년,15동 404호(칸막이),역사관(평상),법오 큰방(칸막이)
3/16/2000 12:00,h3qe7lf2xn@snu.ac.kr,문발즌,1111-11176,3학년,15동 401호(칸막이),15동 404호(칸막이),법오 골방(칸막이)
3/17/2000 12:00,sez8b8p9ze@snu.ac.kr,문넌핀,1111-11177,3학년,법오 작은방(평상),법오 골방(칸막이),15동 404호(칸막이)
3/18/2000 12:00,tykqrzk0vc@snu.ac.kr,최디우,1111-11178,1학년,법오 골방(칸막이),법오 큰방(평상),역사관(평상)
3/19/2000 12:00,i6na0587a5@snu.ac.kr,한잣간,1111-11179,2학년,법오 큰방(칸막이),15동 401호(칸막이),역사관(평상)
3/20/2000 12:00,jl6n8m0khe@snu.ac.kr,양너적,1111-11180,3학년,법오 작은방(평상),15동 401호(칸막이),국산(칸막이)
3/21/2000 12:00,gsvz6wb16q@snu.ac.kr,이찰밀,1111-11181,3학년,15동 401호(칸막이),역사관(평상),15동 401호(칸막이)
3/22/2000 12:00,1w650xddhi@snu.ac.kr,양들턱,1111-11182,3학년,법오 골방(칸막이),법오 골방(칸막이),역사관(평상)
3/23/2000 12:00,fd0narzyxf@snu.ac.kr,박삭필,1111-11183,2학년,법오 큰방(평상),법오 큰방(평상),역사관(평상)
3/24/2000 12:00,hqdn9iqd63@snu.ac.kr,문길펀,1111-11184,2학년,법오 골방(칸막이),법오 큰방(칸막이),법오 골방(칸막이)
3/25/2000 12:00,ktp2nqxfbj@snu.ac.kr,문빌륵,1111-11185,3학년,법오 작은방(평상),법오 골방(칸막이),역사관(평상)
3/26/2000 12:00,syeutiekmx@snu.ac.kr,한달성,1111-11186,3학년,국산(칸막이),역사관(평상),15동 404호(칸막이)
3/27/2000 12:00,3qvaaft8zx@snu.ac.kr,김처달,1111-11187,3학년,법오 큰방(칸막이),법오 큰방(평상),법오 작은방(평상)
3/28/2000 12:00,b2wqxfdnms@snu.ac.kr,박음농,1111-11188,2학년,15동 404호(칸막이),법오 큰방(평상),국산(칸막이)
3/29/2000 12:00,kbl1huk5e2@snu.ac.kr,김걱흘,1111-11189,2학년,국산(칸막이),법오 큰방(평상),15동 404호(칸막이)
3/30/2000 12:00,1159juxx92@snu.ac.kr,김흠함,1111-11190,3학년,15동 401호(칸막이),역사관(평상),법오 큰방(평상)
3/31/2000 12:00,5b0ewbr3ru@snu.ac.kr,김헌구,1111-11191,2학년,15동 404호(칸막이),법오 큰방(평상),법오 큰방(평상)
4/1/2000 12:00,lgy15yidac@snu.ac.kr,최믄아,1111-11192,1학년,법오 큰방(평상),역사관(평상),15동 404호(칸막이)
4/2/2000 12:00,4xhxiycqtd@snu.ac.kr,한적글,1111-11193,2학년,법오 큰방(평상),15동 401호(평상),15동 404호(칸막이)
4/3/2000 12:00,k7h3pmxyfr@snu.ac.kr,양컬처,1111-11194,1학년,법오 큰방(평상),법오 작은방(평상),법오 골방(칸막이)
4/4/2000 12:00,ym24qxmgn8@snu.ac.kr,최질탐,1111-11195,2학년,역사관(평상),법오 큰방(칸막이),법오 큰방(평상)
4/5/2000 12:00,ct7eq7izv3@snu.ac.kr,강토억,1111-11196,2학년,국산(칸막이),법오 골방(칸막이),법오 큰방(평상)
4/6/2000 12:00,wqa2vegpbp@snu.ac.kr,문일루,1111-11197,2학년,15동 404호(칸막이),법오 골방(칸막이),법오 큰방(평상)
4/7/2000 12:00,duqn9wt9j1@snu.ac.kr,강잘찬,1111-11198,2학년,역사관(평상),법오 큰방(평상),법오 골방(칸막이)
4/8/2000 12:00,aeteojfmja@snu.ac.kr,한컥닝,1111-11199,2학년,역사관(평상),15동 401호(칸막이),법오 큰방(칸막이)
4/9/2000 12:00,trtmz2d2z8@snu.ac.kr,한막긍,1111-11200,2학년,15동 404호(칸막이),15동 401호(칸막이),15동 401호(칸막이)
4/10/2000 12:00,be9jo9wd51@snu.ac.kr,이걸다,1111-11201,3학년,법오 작은방(평상),국산(칸막이),법오 골방(칸막이)
4/11/2000 12:00,vnk11ev30i@snu.ac.kr,문랏슥,1111-11202,3학년,국산(칸막이),국산(칸막이),법오 골방(칸막이)
4/12/2000 12:00,uew3xxojcf@snu.ac.kr,양함믁,1111-11203,2학년,역사관(평상),법오 작은방(평상),법오 골방(칸막이)
4/13/2000 12:00,nef4t3rocw@snu.ac.kr,김븡로,1111-11204,2학년,15동 404호(칸막이),15동 401호(평상),역사관(평상)
4/14/2000 12:00,nz8zt3b0en@snu.ac.kr,최익잔,1111-11205,3학년,15동 404호(칸막이),법오 골방(칸막이),15동 401호(칸막이)
4/15/2000 12:00,y2ujyo4dui@snu.ac.kr,박함거,1111-11206,2학년,역사관(평상),법오 큰방(평상),법오 작은방(평상)
4/16/2000 12:00,dbcbdzwmxf@snu.ac.kr,박성힌,1111-11207,3학년,15동 404호(칸막이),15동 401호(칸막이),법오 골방(칸막이)
4/17/2000 12:00,vzk6h18bry@snu.ac.kr,이가치,1111-11208,3학년,법오 골방(칸막이),법오 큰방(평상),법오 큰방(칸막이)
4/18/2000 12:00,366eg15r3r@snu.ac.kr,한퐁늘,1111-11209,3학년,법오 큰방(칸막이),법오 골방(칸막이),15동 401호(칸막이)
4/19/2000 12:00,hyx8ktalw0@snu.ac.kr,최자초,1111-11210,1학년,법오 큰방(칸막이),15동 401호(칸막이),법오 큰방(평상)
4/20/2000 12:00,7nxajovv5z@snu.ac.kr,이언킥,1111-11211,2학년,국산(칸막이),법오 큰방(평상),법오 골방(칸막이)
4/21/2000 12:00,l6qaxhfycc@snu.ac.kr,문를등,1111-11212,3학년,국산(칸막이),법오 큰방(칸막이),국산(칸막이)
4/22/2000 12:00,jaownz2mso@snu.ac.kr,김락밍,1111-11213,3학년,국산(칸막이),법오 작은방(평상),법오 골방(칸막이)
4/23/2000 12:00,hypph4snx2@snu.ac.kr,김슬모,1111-11214,1학년,법오 작은방(평상),법오 큰방(평상),역사관(평상)
4/24/2000 12:00,rk2yxsza4n@snu.ac.kr,한븡큭,1111-11215,2학년,역사관(평상),15동 401호(칸막이),법오 골방(칸막이)
4/25/2000 12:00,2t8mkk59bp@snu.ac.kr,이통만,1111-11216,1학년,역사관(평상),법오 큰방(칸막이),법오 큰방(평상)
4/26/2000 12:00,o44cnapj7u@snu.ac.kr,이빌박,1111-11217,2학년,15동 404호(칸막이),국산(칸막이),법오 큰방(평상)
4/27/2000 12:00,euc62dsrp2@snu.ac.kr,한다빅,1111-11218,2학년,법오 골방(칸막이),법오 큰방(칸막이),15동 401호(칸막이)
4/28/2000 12:00,ydtzr3wcmw@snu.ac.kr,강틸잣,1111-11219,3학년,법오 큰방(칸막이),역사관(평상),국산(칸막이)
4/29/2000 12:00,6t184ggl1j@snu.ac.kr,이기푸,1111-11220,2학년,법오 큰방(칸막이),역사관(평상),법오 골방(칸막이)
4/30/2000 12:00,7cmrh27ig0@snu.ac.kr,박강악,1111-11221,3학년,역사관(평상),법오 큰방(칸막이),법오 작은방(평상)
5/1/2000 12:00,0nyyy0jzk8@snu.ac.kr,김칸틍,1111-11222,2학년,15동 401호(칸막이),역사관(평상),법오 큰방(칸막이)
5/2/2000 12:00,tx4khftch0@snu.ac.kr,최안응,1111-11223,2학년,법오 큰방(칸막이),15동 401호(평상),15동 404호(칸막이)
5/3/2000 12:00,mz01cky3yx@snu.ac.kr,최헌적,1111-11224,1학년,법오 골방(칸막이),법오 큰방(평상),법오 큰방(칸막이)
5/4/2000 12:00,omcurrniex@snu.ac.kr,이딜큰,1111-11225,3학년,15동 401호(칸막이),15동 401호(칸막이),법오 큰방(평상)
5/5/2000 12:00,28lo24houu@snu.ac.kr,강턴칙,1111-11226,3학년,법오 큰방(칸막이),법오 작은방(평상),국산(칸막이)
5/6/2000 12:00,g2jlvt0qhl@snu.ac.kr,박통럭,1111-11227,1학년,법오 작은방(평상),법오 큰방(평상),법오 큰방(칸막이)
5/7/2000 12:00,3txb3p1uex@snu.ac.kr,문던큭,1111-11228,2학년,15동 401호(평상),15동 404호(칸막이),법오 큰방(칸막이)
5/8/2000 12:00,8nrbqokhdv@snu.ac.kr,한든깅,1111-11229,1학년,역사관(평상),법오 골방(칸막이),15동 401호(칸막이)
5/9/2000 12:00,z9aqewg83v@snu.ac.kr,한덕자,1111-11230,2학년,법오 큰방(평상),법오 큰방(칸막이),역사관(평상)
5/10/2000 12:00,qrwzii6kvp@snu.ac.kr,양른큭,1111-11231,1학년,국산(칸막이),15동 401호(칸막이),국산(칸막이)
5/11/2000 12:00,1m856a77kz@snu.ac.kr,김팝아,1111-11232,2학년,역사관(평상),15동 401호(평상),법오 큰방(칸막이)
5/12/2000 12:00,fq49rn59eh@snu.ac.kr,최나찬,1111-11233,3학년,15동 401호(칸막이),국산(칸막이),법오 작은방(평상)
5/13/2000 12:00,rtp91vu3jd@snu.ac.kr,김컨겅,1111-11234,2학년,국산(칸막이),국산(칸막이),15동 404호(칸막이)
5/14/2000 12:00,qk4wwagvb5@snu.ac.kr,이발킬,1111-11235,2학년,법오 큰방(평상),법오 작은방(평상),15동 401호(칸막이)
5/15/2000 12:00,777u3oeyal@snu.ac.kr,최헐컨,1111-11236,3학년,법오 큰방(칸막이),15동 401호(칸막이),법오 작은방(평상)
5/16/2000 12:00,cakmoyf02z@snu.ac.kr,문늑킁,1111-11237,2학년,15동 401호(칸막이),역사관(평상),법오 골방(칸막이)
5/17/2000 12:00,qhaibj8djl@snu.ac.kr,양무타,1111-11238,2학년,15동 404호(칸막이),법오 큰방(평상),15동 401호(칸막이)
5/18/2000 12:00,49504q82he@snu.ac.kr,최칭커,1111-11239,3학년,역사관(평상),15동 401호(칸막이),15동 404호(칸막이)
5/19/2000 12:00,4bljjxh1z5@snu.ac.kr,박핀토,1111-11240,1학년,15동 401호(칸막이),역사관(평상),법오 골방(칸막이)
5/20/2000 12:00,hgj4qwacyu@snu.ac.kr,한팔걸,1111-11241,3학년,법오 골방(칸막이),법오 큰방(칸막이),15동 401호(칸막이)
5/21/2000 12:00,01jocheqze@snu.ac.kr,양투측,1111-11242,3학년,법오 큰방(평상),역사관(평상),15동 404호(칸막이)
5/22/2000 12:00,ax2sk4d74d@snu.ac.kr,문픙긍,1111-11243,1학년,법오 골방(칸막이),국산(칸막이),15동 401호(칸막이)
5/23/2000 12:00,ynpeugpxxl@snu.ac.kr,양승단,1111-11244,1학년,법오 골방(칸막이),법오 큰방(칸막이),법오 큰방(평상)
5/24/2000 12:00,us6yj2x9ew@snu.ac.kr,문언빌,1111-11245,2학년,15동 401호(칸막이),역사관(평상),법오 작은방(평상)
5/25/2000 12:00,j7hsn1fufy@snu.ac.kr,강즌청,1111-11246,2학년,국산(칸막이),법오 큰방(평상),법오 큰방(칸막이)
5/26/2000 12:00,v7r3zur4q5@snu.ac.kr,강더호,1111-11247,1학년,법오 큰방(칸막이),법오 골방(칸막이),역사관(평상)
5/27/2000 12:00,91upmjhvx8@snu.ac.kr,강하낫,1111-11248,3학년,역사관(평상),법오 작은방(평상),역사관(평상)
5/28/2000 12:00,ksyc9dc6eg@snu.ac.kr,최혼틍,1111-11249,2학년,15동 404호(칸막이),법오 작은방(평상),15동 401호(칸막이)
5/29/2000 12:00,kde50z0kjc@snu.ac.kr,김린티,1111-11250,3학년,15동 401호(칸막이),역사관(평상),법오 큰방(평상)
5/30/2000 12:00,cklil5ruay@snu.ac.kr,문딩담,1111-11251,1학년,국산(칸막이),15동 401호(칸막이),국산(칸막이)
5/31/2000 12:00,9z23hgjaz2@snu.ac.kr,문칵를,1111-11252,1학년,국산(칸막이),법오 큰방(평상),법오 큰방(평상)
6/1/2000 12:00,4ei79rqw7f@snu.ac.kr,박토큭,1111-11253,2학년,법오 큰방(평상),법오 골방(칸막이),법오 큰방(칸막이)
6/2/2000 12:00,sa9neljfpa@snu.ac.kr,한랏긴,1111-11254,3학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(칸막이)
6/3/2000 12:00,a26lwolntq@snu.ac.kr,문청루,1111-11255,2학년,법오 큰방(칸막이),법오 골방(칸막이),법오 큰방(평상)
6/4/2000 12:00,zq9i9tb5vp@snu.ac.kr,이즘호,1111-11256,1학년,법오 큰방(칸막이),15동 404호(칸막이),역사관(평상)
6/5/2000 12:00,825jr863pz@snu.ac.kr,박컨킬,1111-11257,1학년,역사관(평상),법오 큰방(칸막이),역사관(평상)
6/6/2000 12:00,c3w663ouy1@snu.ac.kr,한러틈,1111-11258,2학년,15동 404호(칸막이),법오 큰방(평상),법오 작은방(평상)
6/7/2000 12:00,hf0dx1r39q@snu.ac.kr,한조랍,1111-11259,3학년,15동 404호(칸막이),국산(칸막이),국산(칸막이)
6/8/2000 12:00,gjs5yzgja8@snu.ac.kr,박혼팡,1111-11260,3학년,국산(칸막이),법오 작은방(평상),15동 404호(칸막이)
6/9/2000 12:00,islwvxz82m@snu.ac.kr,강캉초,1111-11261,2학년,15동 404호(칸막이),법오 큰방(평상),법오 큰방(칸막이)
6/10/2000 12:00,5z6q8pafro@snu.ac.kr,한탐누,1111-11262,3학년,법오 골방(칸막이),15동 404호(칸막이),국산(칸막이)
6/11/2000 12:00,r6hzus35o6@snu.ac.kr,문탑늑,1111-11263,2학년,법오 골방(칸막이),국산(칸막이),법오 작은방(평상)
6/12/2000 12:00,wjuc5q9gwa@snu.ac.kr,최틈슥,1111-11264,1학년,15동 401호(칸막이),역사관(평상),법오 작은방(평상)
6/13/2000 12:00,q11lmvohro@snu.ac.kr,이맙박,1111-11265,3학년,국산(칸막이),법오 작은방(평상),법오 큰방(평상)
6/14/2000 12:00,vt7uogljwt@snu.ac.kr,이만듬,1111-11266,1학년,법오 큰방(평상),15동 404호(칸막이),15동 401호(평상)
6/15/2000 12:00,8as3p3rggs@snu.ac.kr,김킬픙,1111-11267,3학년,역사관(평상),법오 작은방(평상),법오 큰방(평상)
6/16/2000 12:00,r869nicy7f@snu.ac.kr,이질랏,1111-11268,1학년,법오 큰방(평상),법오 골방(칸막이),국산(칸막이)
6/17/2000 12:00,4rfssg91g0@snu.ac.kr,문나는,1111-11269,1학년,15동 401호(칸막이),법오 작은방(평상),법오 골방(칸막이)
6/18/2000 12:00,48lnh1xzl7@snu.ac.kr,최압즐,1111-11270,2학년,15동 404호(칸막이),법오 큰방(평상),법오 큰방(칸막이)
6/19/2000 12:00,48pcd3hqfw@snu.ac.kr,강고리,1111-11271,3학년,법오 골방(칸막이),15동 404호(칸막이),15동 401호(칸막이)
6/20/2000 12:00,5yzbir0p54@snu.ac.kr,양앗랍,1111-11272,2학년,법오 큰방(평상),15동 404호(칸막이),법오 작은방(평상)
6/21/2000 12:00,bcjuo3bo7z@snu.ac.kr,양공머,1111-11273,2학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(평상)
6/22/2000 12:00,7p0j869mkg@snu.ac.kr,문벌츤,1111-11274,1학년,국산(칸막이),국산(칸막이),15동 404호(칸막이)
6/23/2000 12:00,6j223jtbxs@snu.ac.kr,양터릉,1111-11275,3학년,15동 401호(칸막이),법오 골방(칸막이),법오 골방(칸막이)
6/24/2000 12:00,z3a6jb0km4@snu.ac.kr,한어탕,1111-11276,3학년,15동 401호(칸막이),역사관(평상),15동 404호(칸막이)
6/25/2000 12:00,vu2tcmwov6@snu.ac.kr,최폰핫,1111-11277,1학년,법오 작은방(평상),15동 401호(칸막이),법오 큰방(칸막이)
6/26/2000 12:00,p5rbjlulo4@snu.ac.kr,최어로,1111-11278,3학년,법오 작은방(평상),법오 큰방(평상),법오 큰방(칸막이)
6/27/2000 12:00,yi5iasmeez@snu.ac.kr,최블블,1111-11279,2학년,법오 골방(칸막이),15동 401호(칸막이),15동 401호(칸막이)
6/28/2000 12:00,7z52f8ykxy@snu.ac.kr,한흥탕,1111-11280,3학년,역사관(평상),15동 401호(칸막이),15동 404호(칸막이)
6/29/2000 12:00,n0ng7tkagf@snu.ac.kr,최랄증,1111-11281,3학년,법오 작은방(평상),국산(칸막이),역사관(평상)
6/30/2000 12:00,2l7397r4tm@snu.ac.kr,최증리,1111-11282,1학년,국산(칸막이),법오 작은방(평상),국산(칸막이)
7/1/2000 12:00,4p4f16yvbc@snu.ac.kr,최낙삿,1111-11283,1학년,법오 작은방(평상),역사관(평상),법오 큰방(평상)
7/2/2000 12:00,kfi0echmim@snu.ac.kr,최루삭,1111-11284,3학년,법오 작은방(평상),법오 큰방(칸막이),역사관(평상)
7/3/2000 12:00,0ybehrxupp@snu.ac.kr,이믄즘,1111-11285,3학년,법오 큰방(칸막이),역사관(평상),법오 큰방(평상)
7/4/2000 12:00,eq7yey1yuw@snu.ac.kr,한엉천,1111-11286,3학년,15동 404호(칸막이),법오 큰방(칸막이),15동 401호(칸막이)
7/5/2000 12:00,5xlu9k2wz9@snu.ac.kr,최거틈,1111-11287,2학년,15동 401호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
7/6/2000 12:00,icvp7ex6mq@snu.ac.kr,최릉린,1111-11288,2학년,법오 골방(칸막이),법오 골방(칸막이),법오 큰방(칸막이)
7/7/2000 12:00,cudwyom00b@snu.ac.kr,강틸즉,1111-11289,2학년,15동 401호(칸막이),역사관(평상),법오 큰방(칸막이)
7/8/2000 12:00,xledsainmp@snu.ac.kr,양너일,1111-11290,졸업생,국산(칸막이),법오 큰방(칸막이),법오 큰방(평상)
